Grandes grupos, subgrupos principais, subgrupos e grupos de base da ocupação no trabalho principal;Total;Homens;Mulheres
1 Diretores e gerentes;3380638;2104671;1275967
1.1 Diretores executivos, dirigentes da administração pública e membros do poder executivo e legislativo;244360;158261;86099
1.1.1 Membros superiores do poder executivo e legislativo;192932;120453;72479
1.1.1.1 Legisladores;22313;19042;3270
1.1.1.2 Dirigentes superiores da administração pública;152087;89005;63082
1.1.1.3 Chefes de pequenas populações;32;32;-
1.1.1.4 Dirigentes de organizações que apresentam um interesse especial;18501;12374;6127
1.1.2 Diretores gerais e gerentes gerais;51427;37808;13620
1.1.2.0 Diretores gerais e gerentes gerais;51427;37808;13620
1.2 Dirigentes administrativos e comerciais;861963;512264;349699
1.2.1 Dirigentes de administração e de serviços;446437;252718;193719
1.2.1.1 Dirigentes financeiros;41773;23464;18310
1.2.1.2 Dirigentes de recursos humanos;65371;26432;38939
1.2.1.3 Dirigentes de políticas e planejamento;11635;7604;4031
1.2.1.9 Dirigentes de administração e de serviços não classificados anteriormente;327658;195218;132440
1.2.2 Dirigentes de vendas, comercialização e desenvolvimento;415526;259546;155980
1.2.2.1 Dirigentes de vendas e comercialização;359127;227962;131165
1.2.2.2 Dirigentes de publicidade e relações públicas;48270;26872;21398
1.2.2.3 Dirigentes de pesquisa e desenvolvimento;8129;4712;3417
1.3 Dirigentes e gerentes de produção e operação;1102098;740937;361161
1.3.1 Dirigentes de produção agropecuária, silvicultura, aquicultura e pesca;129104;113701;15403
1.3.1.1 Dirigentes de produção agropecuária e silvicultura;127056;112019;15037
1.3.1.2 Dirigentes de produção da aquicultura e pesca;2048;1681;366
1.3.2 Dirigentes de indústria de transformação, mineração, construção e distribuição;470345;364816;105530
1.3.2.1 Dirigentes de indústria de transformação;314261;237259;77002
1.3.2.2 Dirigentes de explorações de mineração;7226;6028;1198
1.3.2.3 Dirigentes de empresas de construção;59685;50546;9140
1.3.2.4 Dirigentes de empresas de abastecimento, distribuição e afins;89173;70983;18190
1.3.3 Dirigentes de serviços de tecnologia da informação e comunicações;80834;62056;18779
1.3.3.0 Dirigentes de serviços de tecnologia da informação e comunicações;80834;62056;18779
1.3.4 Dirigentes e gerentes de serviços profissionais;421815;200365;221450
1.3.4.1 Dirigentes de serviços de cuidados infantis;6518;550;5968
1.3.4.2 Dirigentes de serviços de saúde;37178;13734;23444
1.3.4.3 Dirigentes de serviços de cuidado a pessoas idosas;657;97;559
1.3.4.4 Dirigentes de serviços de bem-estar social;1540;627;913
1.3.4.5 Dirigentes de serviços de educação;108930;27778;81152
1.3.4.6 Gerentes de sucursais de bancos, de serviços financeiros e de seguros;164019;91345;72673
1.3.4.9 Dirigentes e gerentes de serviços profissionais não classificados anteriormente;102974;66233;36740
1.4 Gerentes de hotéis, restaurantes, comércios e outros serviços;1172217;693209;479008
1.4.1 Gerentes de hotéis e restaurantes;273845;156023;117821
1.4.1.1 Gerentes de hotéis;22325;11720;10605
1.4.1.2 Gerentes de restaurantes;251519;144303;107216
1.4.2 Gerentes de comércios atacadistas e varejistas;844730;503187;341543
1.4.2.0 Gerentes de comércios atacadistas e varejistas;844730;503187;341543
1.4.3 Outros gerentes de serviços;53642;33999;19643
1.4.3.1 Gerentes de centros esportivos, de diversão e culturais;44386;28803;15584
1.4.3.9 Gerentes de serviços não classificados anteriormente;9256;5197;4060
2 Profissionais das ciências e intelectuais;8494780;3440704;5054076
2.1 Profissionais das ciências e da engenharia;709054;507315;201739
2.1.1 Físicos, químicos e afins;50118;34298;15820
2.1.1.1 Físicos e astrônomos;1274;1037;237
2.1.1.2 Meteorologistas;1180;781;398
2.1.1.3 Químicos;40672;27019;13654
2.1.1.4 Geólogos e geofísicos;6991;5461;1530
2.1.2 Matemáticos, atuários e estatísticos;3790;2337;1453
2.1.2.0 Matemáticos, atuários e estatísticos;3790;2337;1453
2.1.3 Profissionais em ciências biológicas;89324;55167;34158
2.1.3.1 Biólogos, botânicos, zoólogos e afins;39673;14662;25010
2.1.3.2 Agrônomos e afins;40040;34113;5927
2.1.3.3 Profissionais da proteção do meio ambiente;9612;6392;3220
2.1.4 Engenheiros (exclusive eletrotecnólogos);307840;256633;51207
2.1.4.1 Engenheiros industriais e de produção;24021;20205;3816
2.1.4.2 Engenheiros civis;166683;139267;27415
2.1.4.3 Engenheiros de meio ambiente;16169;10199;5970
2.1.4.4 Engenheiros mecânicos;58302;54625;3677
2.1.4.5 Engenheiros químicos;18882;12878;6005
2.1.4.6 Engenheiros de minas, metalúrgicos e afins;7025;6221;805
2.1.4.9 Engenheiros não classificados anteriormente;16758;13239;3520
2.1.5 Engenheiros eletrotécnicos;56721;52027;4694
2.1.5.1 Engenheiros eletricistas;40679;37869;2810
2.1.5.2 Engenheiros eletrônicos;9807;8908;899
2.1.5.3 Engenheiros em telecomunicações;6236;5250;986
2.1.6 Arquitetos, urbanistas, agrimensores e desenhistas;201261;106853;94408
2.1.6.1 Arquitetos de edificações;83397;36905;46492
2.1.6.2 Arquitetos paisagistas;5910;3773;2137
2.1.6.3 Desenhistas de produtos e vestuário;58249;25528;32721
2.1.6.4 Urbanistas e engenheiros de trânsito;3852;2479;1373
2.1.6.5 Cartógrafos e agrimensores;5601;5164;438
2.1.6.6 Desenhistas gráficos e de multimídia;44252;33004;11248
2.2 Profissionais da saúde;1193141;438190;754951
2.2.1 Médicos;318934;188236;130698
2.2.1.1 Médicos gerais;223078;132520;90558
2.2.1.2 Médicos especialistas;95856;55716;40140
2.2.2 Profissionais de enfermagem e partos;279656;45415;234241
2.2.2.1 Profissionais de enfermagem;279625;45415;234210
2.2.2.2 Profissionais de partos;31;-;31
2.2.3 Profissionais da medicina tradicional e alternativa;2697;1244;1454
2.2.3.0 Profissionais da medicina tradicional e alternativa;2697;1244;1454
2.2.4 Paramédicos;1486;629;857
2.2.4.0 Paramédicos;1486;629;857
2.2.5 Veterinários;48137;27294;20843
2.2.5.0 Veterinários;48137;27294;20843
2.2.6 Outros profissionais da saúde;542231;175373;366858
2.2.6.1 Dentistas;224080;100291;123789
2.2.6.2 Farmacêuticos;107804;38849;68955
2.2.6.3 Profissionais da saúde e da higiene laboral e ambiental;4811;2900;1910
2.2.6.4 Fisioterapeutas;101145;22633;78512
2.2.6.5 Dietistas e nutricionistas;55071;5339;49732
2.2.6.6 Fonoaudiólogos e logopedistas;25044;1382;23662
2.2.6.7 Optometristas;1009;493;517
2.2.6.9 Profissionais da saúde não classificados anteriormente;23267;3486;19781
2.3 Profissionais do ensino;3421911;755599;2666312
2.3.1 Professores de universidades e do ensino superior;221495;101565;119930
2.3.1.0 Professores de universidades e do ensino superior;221495;101565;119930
2.3.2 Professores de formação profissional;51636;27691;23946
2.3.2.0 Professores de formação profissional;51636;27691;23946
2.3.3 Professores do ensino médio;456349;129528;326822
2.3.3.0 Professores do ensino médio;456349;129528;326822
2.3.4 Professores do ensino fundamental e pré-escolar;2118363;348792;1769571
2.3.4.1 Professores do ensino fundamental;1481180;260322;1220858
2.3.4.2 Professores do ensino pré-escolar;637182;88469;548713
2.3.5 Outros profissionais do ensino;574068;148024;426044
2.3.5.1 Especialistas em métodos pedagógicos;303706;52551;251156
2.3.5.2 Educadores para necessidades especiais;20676;2107;18569
2.3.5.3 Outros professores de idiomas;32395;10366;22029
2.3.5.4 Outros professores de música;33985;21118;12868
2.3.5.5 Outros professores de artes;54899;14352;40547
2.3.5.6 Instrutores em tecnologias da informação;39544;26069;13475
2.3.5.9 Profissionais de ensino não classificados anteriormente;88861;21461;67400
2.4 Especialistas em organização da administração pública e de empresas;1232842;691412;541429
2.4.1 Especialistas em finanças;527395;299133;228262
2.4.1.1 Contadores;419698;252399;167299
2.4.1.2 Assessores financeiros e em investimentos;13257;6461;6795
2.4.1.3 Analistas financeiros;94440;40272;54167
2.4.2 Especialistas em organização de administração;517491;290475;227017
2.4.2.1 Analistas de gestão e administração;425946;260032;165915
2.4.2.2 Especialistas em políticas de administração;1978;918;1061
2.4.2.3 Especialistas em políticas e serviços de pessoal e afins;85404;27486;57918
2.4.2.4 Especialistas em formação de pessoal;4162;2039;2124
2.4.3 Profissionais de vendas, comercialização e relações públicas;187955;101805;86150
2.4.3.1 Profissionais da publicidade e da comercialização;141334;76124;65210
2.4.3.2 Profissionais de relações públicas;29218;13353;15866
2.4.3.3 Profissionais de vendas técnicas e médicas (exclusive de tecnologia da informação e comunicações);9126;6754;2372
2.4.3.4 Profissionais de vendas de tecnologia da informação e comunicações;8277;5574;2702
2.5 Profissionais de tecnologias da informação e comunicações;350511;277696;72815
2.5.1 Desenvolvedores e analistas de programas e aplicativos (software) e multimídia;321239;253522;67718
2.5.1.1 Analistas de sistemas;239160;183893;55267
2.5.1.2 Desenvolvedores de programas e aplicativos (software);21117;17525;3592
2.5.1.3 Desenvolvedores de páginas de internet (web) e multimídia;4756;3899;857
2.5.1.4 Programadores de aplicações;53985;46612;7374
2.5.1.9 Desenvolvedores e analistas de programas e aplicativos (software) e multimídia não classificados anteriormente;2221;1594;627
2.5.2 Especialistas em base de dados e em redes de computadores;29271;24174;5097
2.5.2.1 Desenhistas e administradores de bases de dados;3034;2159;876
2.5.2.2 Administradores de sistemas;20236;16845;3392
2.5.2.3 Profissionais em rede de computadores;3735;3268;467
2.5.2.9 Especialistas em base de dados e em redes de computadores não classificados anteriormente;2266;1903;363
2.6 Profissionais em direito, em ciências sociais e culturais;1587322;770492;816830
2.6.1 Profissionais em direito;631994;367578;264417
2.6.1.1 Advogados e juristas;611762;354699;257063
2.6.1.2 Juízes;4667;3202;1465
2.6.1.9 Profissionais em direito não classificados anteriormente;15566;9677;5889
2.6.2 Arquivologistas, curadores de museus, bibliotecários e afins;42008;9355;32653
2.6.2.1 Arquivologistas e curadores de museus;1447;670;778
2.6.2.2 Bibliotecários, documentaristas e afins;40560;8685;31875
2.6.3 Especialistas em ciências sociais e teologia;406561;136398;270163
2.6.3.1 Economistas;35698;22761;12937
2.6.3.2 Sociólogos, antropólogos e afins;5282;2513;2770
2.6.3.3 Filósofos, historiadores e especialistas em ciência política;2539;1128;1411
2.6.3.4 Psicólogos;138819;22329;116490
2.6.3.5 Assistentes sociais;147155;26962;120193
2.6.3.6 Ministros de cultos religiosos, missionários e afins;77068;60705;16362
2.6.4 Escritores, jornalistas e linguistas;112910;53888;59022
2.6.4.1 Escritores;14786;6679;8107
2.6.4.2 Jornalistas;83628;41657;41971
2.6.4.3 Tradutores, intérpretes e linguistas;14496;5553;8944
2.6.5 Artistas criativos e interpretativos;393849;203274;190575
2.6.5.1 Artistas plásticos;224090;69158;154932
2.6.5.2 Músicos, cantores e compositores;95162;82127;13035
2.6.5.3 Bailarinos e coreógrafos;6228;2034;4194
2.6.5.4 Diretores de cinema, de teatro e afins;16609;12004;4604
2.6.5.5 Atores;12337;6575;5762
2.6.5.6 Locutores de rádio, televisão e outros meios de comunicação;37820;30153;7667
2.6.5.9 Artistas criativos e interpretativos não classificados anteriormente;1604;1222;382
3 Técnicos e profissionais de nível médio;5528045;3391655;2136391
3.1 Profissionais de nível médio das ciências e da engenharia;1258200;1122713;135487
3.1.1 Técnicos em ciências físicas e da engenharia;854743;759169;95574
3.1.1.1 Técnicos em ciências físicas e químicas;15850;10626;5224
3.1.1.2 Técnicos em engenharia civil;92643;83003;9640
3.1.1.3 Eletrotécnicos;111600;107683;3917
3.1.1.4 Técnicos em eletrônica;186085;175120;10965
3.1.1.5 Técnicos em engenharia mecânica;156400;149843;6556
3.1.1.6 Técnicos em química industrial;41570;27968;13602
3.1.1.7 Técnicos em engenharia de minas e metalurgia;85929;79665;6264
3.1.1.8 Desenhistas e projetistas técnicos;88763;70229;18535
3.1.1.9 Técnicos em ciências físicas e da engenharia não classificados anteriormente;75902;55030;20871
3.1.2 Supervisores em engenharia de minas, de indústrias de transformação e da construção;247192;224171;23021
3.1.2.1 Supervisores da mineração;4136;3747;390
3.1.2.2 Supervisores de indústrias de transformação;110641;90848;19794
3.1.2.3 Supervisores da construção;132415;129577;2837
3.1.3 Técnicos em controle de processos;60168;55783;4385
3.1.3.1 Operadores de instalações de produção de energia;10758;10307;452
3.1.3.2 Operadores de incineradores, instalações de tratamento de água e afins;26157;25016;1141
3.1.3.3 Controladores de instalações de processamento de produtos químicos;2742;2580;163
3.1.3.4 Operadores de instalações de refino de petróleo e gás natural;2935;2789;146
3.1.3.5 Controladores de processos de produção de metais;12080;11491;589
3.1.3.9 Técnicos em controle de processos não classificados anteriormente;5496;3602;1894
3.1.4 Técnicos e profissionais de nível médio em ciências biológicas e afins;57062;47996;9066
3.1.4.1 Técnicos e profissionais de nível médio em ciências biológicas (exclusive da medicina);7026;3531;3495
3.1.4.2 Técnicos agropecuários;44605;40042;4563
3.1.4.3 Técnicos florestais;5430;4422;1008
3.1.5 Técnicos e controladores da navegação marítima e aeronáutica;39035;35594;3441
3.1.5.1 Oficiais maquinistas em navegação;908;899;9
3.1.5.2 Capitães, oficiais de coberta e práticos;16510;15520;990
3.1.5.3 Pilotos de aviação e afins;14130;13041;1089
3.1.5.4 Controladores de tráfego aéreo;4902;3979;923
3.1.5.5 Técnicos em segurança aeronáutica;2586;2155;431
3.2 Profissionais de nível médio da saúde e afins;1152255;369843;782412
3.2.1 Técnicos médicos e farmacêuticos;137037;68551;68486
3.2.1.1 Técnicos em aparelhos de diagnóstico e tratamento médico;42956;24006;18950
3.2.1.2 Técnicos de laboratórios médicos;41646;12347;29299
3.2.1.3 Técnicos e assistentes farmacêuticos;14600;4709;9891
3.2.1.4 Técnicos de próteses médicas e dentárias;37835;27489;10346
3.2.2 Profissionais de nível médio de enfermagem e partos;472532;76147;396385
3.2.2.1 Profissionais de nível médio de enfermagem;468243;75862;392381
3.2.2.2 Profissionais de nível médio de partos;4290;285;4005
3.2.3 Profissionais de nível médio de medicina tradicional e alternativa;8809;2419;6390
3.2.3.0 Profissionais de nível médio de medicina tradicional e alternativa;8809;2419;6390
3.2.4 Técnicos e assistentes veterinários;3618;2144;1474
3.2.4.0 Técnicos e assistentes veterinários;3618;2144;1474
3.2.5 Outros profissionais de nível médio da saúde;530258;220581;309677
3.2.5.1 Dentistas auxiliares e ajudantes de odontologia;16504;1826;14678
3.2.5.2 Técnicos em documentação sanitária;493;186;307
3.2.5.3 Trabalhadores comunitários da saúde;333955;112894;221060
3.2.5.4 Técnicos em optometria e ópticos;1992;1345;648
3.2.5.5 Técnicos e assistentes fisioterapeutas;20436;4116;16319
3.2.5.6 Assistentes de medicina;24582;4404;20178
3.2.5.7 Inspetores de saúde laboral, ambiental e afins;119059;87165;31894
3.2.5.8 Ajudantes de ambulâncias;8871;7713;1157
3.2.5.9 Profissionais de nível médio da saúde não classificados anteriormente;4367;932;3436
3.3 Profissionais de nível médio em operações financeiras e administrativas;2024102;1158241;865861
3.3.1 Profissionais de nível médio em finanças e matemática;254659;119044;135616
3.3.1.1 Agentes e corretores de bolsa, câmbio e outros serviços financeiros;44790;25762;19028
3.3.1.2 Agentes de empréstimos e financiamento;49403;16251;33151
3.3.1.3 Contabilistas e guarda livros;112008;53962;58047
3.3.1.4 Profissionais de nível médio de serviços estatísticos, matemáticos e afins;45035;20377;24657
3.3.1.5 Avaliadores;3424;2692;732
3.3.2 Agentes e corretores comerciais;620530;407428;213102
3.3.2.1 Agentes de seguros;84188;51093;33095
3.3.2.2 Representantes comerciais;427679;286034;141645
3.3.2.3 Agentes de compras;69639;47476;22163
3.3.2.4 Corretores de comercialização;39024;22824;16200
3.3.3 Agentes de serviços comerciais;386266;237567;148699
3.3.3.1 Despachantes aduaneiros;9690;6782;2908
3.3.3.2 Organizadores de conferências e eventos;117659;56238;61421
3.3.3.3 Agentes de emprego e agenciadores de mão- de- obra;18110;11643;6467
3.3.3.4 Agentes imobiliários;161775;112491;49284
3.3.3.9 Agentes de serviços comerciais não classificados anteriormente;79032;50413;28619
3.3.4 Secretários administrativos e especializados;681489;336199;345290
3.3.4.1 Supervisores de secretaria;371104;244146;126958
3.3.4.2 Secretários jurídicos;110871;48542;62328
3.3.4.3 Secretários executivos e administrativos;130053;38528;91525
3.3.4.4 Secretários de medicina;69461;4983;64478
3.3.5 Agentes da administração pública para aplicação da lei e afins;81158;58004;23154
3.3.5.1 Agentes aduaneiros e inspetores de fronteiras;472;367;105
3.3.5.2 Agentes da administração tributária;48747;35551;13196
3.3.5.3 Agentes de serviços de seguridade social;8344;3621;4723
3.3.5.4 Agentes de serviços de expedição de licenças e permissões;576;382;194
3.3.5.5 Inspetores de polícia e detetives;16794;13350;3444
3.3.5.9 Agentes da administração pública para aplicação da lei e afins não classificados anteriormente;6226;4732;1493
3.4 Profissionais de nível médio de serviços jurídicos, sociais, culturais e afins;637187;349683;287504
3.4.1 Profissionais de nível médio de serviços jurídicos, sociais e religiosos;245483;119810;125674
3.4.1.1 Profissionais de nível médio do direito e serviços legais e afins;190329;94256;96073
3.4.1.2 Trabalhadores e assistentes sociais de nível médio;26056;5153;20902
3.4.1.3 Auxiliares leigos de religião;29099;20400;8699
3.4.2 Trabalhadores do esporte e condicionamento físico;184318;120752;63566
3.4.2.1 Atletas e esportistas;20933;19257;1676
3.4.2.2 Treinadores, instrutores e árbitros de atividades esportivas;22606;18436;4170
3.4.2.3 Instrutores de educação física e atividades recreativas;140779;83059;57720
3.4.3 Profissionais de nível médio em atividades culturais, artísticas e culinárias;207386;109121;98265
3.4.3.1 Fotógrafos;73848;48742;25105
3.4.3.2 Desenhistas e decoradores de interiores;49156;18580;30576
3.4.3.3 Técnicos em galerias de arte, museus e bibliotecas;2334;637;1697
3.4.3.4 Chefes de cozinha;64733;25880;38854
3.4.3.5 Outros profissionais de nível médio em atividades culturais e artísticas;17315;15283;2032
3.5 Técnicos de nível médio da tecnologia da informação e das comunicações;456302;391175;65127
3.5.1 Técnicos em operações de tecnologia da informação e das comunicações e assistência ao usuário;315687;268899;46788
3.5.1.1 Técnicos em operações de tecnologia da informação e das comunicações;43358;32707;10651
3.5.1.2 Técnicos em assistência ao usuário de tecnologia da informação e das comunicações;101253;82502;18751
3.5.1.3 Técnicos de redes e sistemas de computadores;168626;151886;16740
3.5.1.4 Técnicos da web;2450;1804;646
3.5.2 Técnicos em telecomunicações e radiodifusão;140615;122276;18339
3.5.2.1 Técnicos de radiodifusão e gravação audiovisual;67034;57678;9356
3.5.2.2 Técnicos de engenharia de telecomunicações;73581;64598;8983
4 Trabalhadores de apoio administrativo;6004563;2189635;3814928
4.1 Escriturários;3173433;944016;2229417
4.1.1 Escriturários gerais;2095908;802879;1293029
4.1.1.0 Escriturários gerais;2095908;802879;1293029
4.1.2 Secretários (geral);1003805;105586;898219
4.1.2.0 Secretários (geral);1003805;105586;898219
4.1.3 Operadores de máquinas de escritório;73719;35550;38169
4.1.3.1 Operadores de máquinas de processamento de texto e mecanógrafos;4493;1491;3002
4.1.3.2 Operadores de entrada de dados;69226;34059;35167
4.2 Trabalhadores de atendimento direto ao público;1622598;413137;1209461
4.2.1 Caixas de banco, cobradores, pagadores e afins;173673;98073;75600
4.2.1.1 Caixas de banco e afins;44766;21062;23704
4.2.1.2 Coletores de apostas e de jogos;28285;13123;15163
4.2.1.3 Trabalhadores em escritórios de empréstimos e penhor;792;498;294
4.2.1.4 Cobradores e afins;99830;63389;36440
4.2.2 Trabalhadores de serviços de informação ao cliente;1448925;315064;1133861
4.2.2.1 Trabalhadores de agências de viagem;47569;19588;27981
4.2.2.2 Trabalhadores de centrais de atendimento;375602;87267;288335
4.2.2.3 Telefonistas;112310;13996;98315
4.2.2.4 Recepcionistas de hotéis;15831;8352;7479
4.2.2.5 Trabalhadores dos serviços de informações;23648;7960;15688
4.2.2.6 Recepcionistas em geral;827570;160429;667141
4.2.2.7 Entrevistadores de pesquisas de mercado;32745;14908;17838
4.2.2.9 Trabalhadores de serviços de informação ao cliente não classificados anteriormente;13649;2565;11084
4.3 Trabalhadores de cálculos numéricos e encarregados do registro de materiais;1027394;728388;299005
4.3.1 Auxiliares contábeis e financeiros;339096;147546;191549
4.3.1.1 Trabalhadores de contabilidade e cálculo de custos;199198;81435;117763
4.3.1.2 Trabalhadores de serviços estatísticos, financeiros e de seguros;135750;63627;72123
4.3.1.3 Trabalhadores encarregados de folha de pagamento;4148;2484;1664
4.3.2 Trabalhadores encarregados de registros de materiais e de transportes;688298;580842;107456
4.3.2.1 Trabalhadores de controle de abastecimento e estoques;619367;525973;93394
4.3.2.2 Trabalhadores de serviços de apoio à produção;46446;36321;10125
4.3.2.3 Trabalhadores de serviços de transporte;22484;18548;3936
4.4 Outros trabalhadores de apoio administrativo;181139;104094;77045
4.4.1 Outros trabalhadores de apoio administrativo;181139;104094;77045
4.4.1.1 Trabalhadores de bibliotecas;13016;2638;10378
4.4.1.2 Trabalhadores de serviços de correios;60049;51239;8810
4.4.1.3 Codificadores de dados, revisores de provas de impressão e afins;1219;664;555
