Grandes grupos, subgrupos principais, subgrupos e grupos de base da ocupação no trabalho principal;Total;Homens;Mulheres
4.4.1.4 Outros escreventes;606;297;309
4.4.1.5 Trabalhadores de arquivos;40994;21303;19690
4.4.1.6 Trabalhadores do serviço de pessoal;64480;27546;36934
4.4.1.9 Trabalhadores de apoio administrativo não classificados anteriormente;775;406;369
5 Trabalhadores dos serviços, vendedores dos comércios e mercados;14379354;6555121;7824233
5.1 Trabalhadores dos serviços pessoais;3814035;1487535;2326500
5.1.1 Trabalhadores do serviço direto aos passageiros;192759;145892;46868
5.1.1.1 Auxiliares de serviço de bordo;10969;3942;7027
5.1.1.2 Fiscais e cobradores de transportes públicos;169013;133683;35330
5.1.1.3 Guias de turismo;12777;8267;4510
5.1.2 Cozinheiros;1020760;210053;810708
5.1.2.0 Cozinheiros;1020760;210053;810708
5.1.3 Garçons e atendentes de bar;576305;362854;213450
5.1.3.1 Garçons;452973;290910;162063
5.1.3.2 Atendentes de bar;123332;71944;51387
5.1.4 Cabeleireiros, especialistas em tratamento de beleza e afins;1228406;197373;1031033
5.1.4.1 Cabeleireiros;687244;175761;511483
5.1.4.2 Especialistas em tratamento de beleza e afins;541162;21612;519550
5.1.5 Supervisores de manutenção e limpeza de edifícios;718235;518316;199918
5.1.5.1 Supervisores de manutenção e limpeza de edifícios em escritórios, hotéis e estabelecimentos;22816;10848;11969
5.1.5.2 Governantas e mordomos domésticos;8716;401;8315
5.1.5.3 Porteiros e zeladores;686702;507068;179634
5.1.6 Outros trabalhadores de serviços pessoais;77570;53047;24524
5.1.6.1 Astrólogos, adivinhos e afins;2006;359;1646
5.1.6.2 Acompanhantes e criados particulares;1455;146;1309
5.1.6.3 Trabalhadores de funerárias e embalsamadores;10204;7928;2277
5.1.6.4 Cuidadores de animais;17823;10588;7235
5.1.6.5 Instrutores de autoescola;41562;33147;8414
5.1.6.8 Trabalhadores do sexo;3450;801;2649
5.1.6.9 Trabalhadores de serviços pessoais não classificados anteriormente;1071;77;994
5.2 Vendedores;7597912;3449990;4147922
5.2.1 Vendedores de rua e postos de mercado;392451;233098;159353
5.2.1.1 Vendedores de quiosques e postos de mercados;320386;197178;123208
5.2.1.2 Vendedores ambulantes de serviços de alimentação;72064;35920;36145
5.2.2 Comerciantes e vendedores de lojas;5596042;2677656;2918386
5.2.2.1 Comerciantes de lojas;1807696;1024707;782990
5.2.2.2 Supervisores de lojas;135514;84786;50728
5.2.2.3 Balconistas e vendedores de lojas;3652832;1568163;2084668
5.2.3 Caixas e expedidores de bilhetes;778791;137310;641481
5.2.3.0 Caixas e expedidores de bilhetes;778791;137310;641481
5.2.4 Outros vendedores;830628;401926;428702
5.2.4.1 Modelos de moda, arte e publicidade;4768;1462;3306
5.2.4.2 Demonstradores de lojas;103509;42355;61155
5.2.4.3 Vendedores a domicilio;347682;102830;244852
5.2.4.4 Vendedores por telefone;13139;4745;8393
5.2.4.5 Frentistas de posto de gasolina;184732;160349;24384
5.2.4.6 Balconistas dos serviços de alimentação;112275;35849;76425
5.2.4.9 Vendedores não classificados anteriormente;64523;54336;10187
5.3 Trabalhadores dos cuidados pessoais;1391036;159862;1231174
5.3.1 Cuidadores de crianças e ajudantes de professores;863852;86391;777461
5.3.1.1 Cuidadores de crianças;741745;61876;679869
5.3.1.2 Ajudantes de professores;122106;24515;97592
5.3.2 Trabalhadores de cuidados pessoais nos serviços de saúde;527184;73471;453713
5.3.2.1 Trabalhadores de cuidados pessoais em instituições;307047;46939;260108
5.3.2.2 Trabalhadores de cuidados pessoais a domicílios;174979;10162;164817
5.3.2.9 Trabalhadores de cuidados pessoais nos serviços de saúde não classificados anteriormente;45158;16371;28787
5.4 Trabalhadores dos serviços de proteção e segurança;1576371;1457734;118637
5.4.1 Trabalhadores dos serviços de proteção e segurança;1576371;1457734;118637
5.4.1.1 Bombeiros;17298;15964;1334
5.4.1.2 Policiais;128606;110799;17807
5.4.1.3 Guardiões de presídios;56436;47104;9332
5.4.1.4 Guardas de segurança;1334533;1251315;83217
5.4.1.9 Trabalhadores dos serviços de proteção e segurança não classificados anteriormente;39498;32552;6947
6 Trabalhadores qualificados da agropecuária, florestais, da caça e da pesca;7390489;5105784;2284705
6.1 Agricultores e trabalhadores qualificados da agropecuária;6883914;4689066;2194848
6.1.1 Agricultores e trabalhadores qualificados em atividades da agricultura;5236996;3531239;1705757
6.1.1.1 Agricultores e trabalhadores qualificados em atividades da agricultura (exclusive hortas, viveiros e jardins);2131141;1452488;678652
6.1.1.2 Agricultores e trabalhadores qualificados no cultivo de hortas, viveiros e jardins;558470;323782;234688
6.1.1.4 Agricultores e trabalhadores qualificados de cultivos mistos;2547385;1754968;792417
6.1.2 Criadores e trabalhadores qualificados da pecuária;1257230;827034;430196
6.1.2.1 Criadores de gado e trabalhadores qualificados da criação de gado;900611;635492;265118
6.1.2.2 Avicultores e trabalhadores qualificados da avicultura;221654;95264;126390
6.1.2.3 Apicultores, sericicultores e trabalhadores qualificados da apicultura e sericicultura;10083;7584;2499
6.1.2.9 Outros criadores e trabalhadores qualificados da pecuária não classificados anteriormente;124882;88693;36189
6.1.3 Produtores e trabalhadores qualificados de exploração agropecuária mista;389688;330793;58895
6.1.3.0 Produtores e trabalhadores qualificados de exploração agropecuária mista;389688;330793;58895
6.2 Trabalhadores florestais qualificados, pescadores e caçadores;506575;416718;89857
6.2.1 Trabalhadores florestais qualificados e afins;79886;68446;11440
6.2.1.0 Trabalhadores florestais qualificados e afins;79886;68446;11440
6.2.2 Pescadores e caçadores;426689;348272;78417
6.2.2.1 Trabalhadores da aquicultura;12563;9875;2688
6.2.2.4 Caçadores;575;551;24
6.2.2.5 Pescadores;413551;337846;75705
7 Trabalhadores qualificados, operários e artesãos da construção, das artes mecânicas e outros ofícios;9812945;8817031;995914
7.1 Trabalhadores qualificados e operários da construção exclusive eletricistas;4502303;4281054;221250
7.1.1 Trabalhadores da construção civil em obras estruturais;3459761;3272167;187594
7.1.1.1 Construtores de casas;106255;104393;1862
7.1.1.2 Pedreiros;3010379;2831594;178785
7.1.1.3 Canteiros, cortadores e gravadores de pedras;39114;38089;1026
7.1.1.4 Trabalhadores em cimento e concreto armado;14880;14587;292
7.1.1.5 Carpinteiros;270627;265065;5562
7.1.1.9 Outros trabalhadores qualificados e operários da construção não classificados anteriormente;18506;18439;67
7.1.2 Trabalhadores qualificados da construção (acabamento);357368;346207;11161
7.1.2.1 Telhadores;7968;7846;122
7.1.2.2 Aplicadores de revestimentos cerâmicos, pastilhas, pedras e madeiras;38485;36716;1769
7.1.2.3 Gesseiros;81581;78676;2905
7.1.2.4 Instaladores de material isolante térmico e acústico;9655;9178;477
7.1.2.5 Vidraceiros;39254;37611;1643
7.1.2.6 Bombeiros e encanadores;151967;148871;3096
7.1.2.7 Mecânicos-instaladores de sistemas de refrigeração e climatização;28459;27309;1149
7.1.3 Pintores, limpadores de fachadas e afins;685174;662680;22494
7.1.3.1 Pintores e empapeladores;521316;506814;14502
7.1.3.2 Lustradores;163696;155738;7958
7.1.3.3 Limpadores de fachadas;162;127;35
7.2 Trabalhadores qualificados e operários da metalurgia, da construção mecânica e afins;2313748;2233110;80638
7.2.1 Moldadores, soldadores, chapistas, caldeireiros, montadores de estruturas metálicas e afins;788605;767584;21021
7.2.1.1 Moldadores de metal e macheiros;11754;11071;683
7.2.1.2 Soldadores e oxicortadores;294373;286744;7629
7.2.1.3 Chapistas e caldeireiros;395384;384622;10763
7.2.1.4 Montadores de estruturas metálicas;85673;83757;1916
7.2.1.5 Aparelhadores e emendadores de cabos;1420;1390;30
7.2.2 Ferreiros, ferramenteiros e afins;270467;255271;15196
7.2.2.1 Ferreiros e forjadores;26417;25676;741
7.2.2.2 Ferramenteiros e afins;39315;37872;1443
7.2.2.3 Reguladores e operadores de máquinas-ferramentas;183638;172561;11078
7.2.2.4 Polidores de metais e afiadores de ferramentas;21096;19163;1934
7.2.3 Mecânicos e reparadores de máquinas;1254676;1210255;44422
7.2.3.1 Mecânicos e reparadores de veículos a motor;871291;843934;27358
7.2.3.2 Mecânicos e reparadores de motores de avião;11385;10734;650
7.2.3.3 Mecânicos e reparadores de máquinas agrícolas e industriais;333783;318951;14832
7.2.3.4 Reparadores de bicicletas e afins;38217;36636;1582
7.3 Artesãos e operários das artes gráficas;461163;309064;152099
7.3.1 Artesãos;310012;185831;124181
7.3.1.1 Mecânicos e reparadores de instrumentos de precisão;16994;14166;2828
7.3.1.2 Confeccionadores e afinadores de instrumentos musicais;2035;1708;327
7.3.1.3 Joalheiros e lapidadores de gemas, artesãos de metais preciosos e semipreciosos;31330;18870;12461
7.3.1.4 Ceramistas e afins (preparação e fabricação);86218;77026;9192
7.3.1.5 Cortadores, polidores, jateadores e gravadores de vidros e afins;2630;2469;161
7.3.1.6 Redatores de cartazes, pintores decorativos e gravadores;13034;11899;1135
7.3.1.7 Artesãos de pedra, madeira, vime e materiais semelhantes;89778;25858;63919
7.3.1.8 Artesãos de tecidos, couros e materiais semelhantes;57774;24485;33289
7.3.1.9 Artesãos não classificados anteriormente;10219;9350;869
7.3.2 Trabalhadores qualificados e operários das artes gráficas;151151;123233;27918
7.3.2.1 Trabalhadores da pré-impressão gráfica;17180;12032;5148
7.3.2.2 Impressores;108290;95246;13045
7.3.2.3 Encadernadores e afins;25681;15955;9726
7.4 Trabalhadores especializados em eletricidade e eletrônica;708303;686231;22072
7.4.1 Instaladores e reparadores de equipamentos elétricos;646149;629132;17017
7.4.1.1 Eletricistas de obras e afins;242052;237084;4968
7.4.1.2 Mecânicos e ajustadores eletricistas;364314;352982;11332
7.4.1.3 Instaladores e reparadores de linhas elétricas;39782;39065;717
7.4.2 Instaladores e reparadores de equipamentos eletrônicos e de telecomunicações;62155;57100;5055
7.4.2.1 Mecânicos e reparadores em eletrônica;26510;23662;2848
7.4.2.2 Instaladores e reparadores em tecnologias da informação e comunicações;35645;33438;2207
7.5 Operários e oficiais de processamento de alimentos, da madeira, da confecção e afins;1827427;1307572;519855
7.5.1 Trabalhadores qualificados do processamento de alimentos e afins;940309;652894;287415
7.5.1.1 Magarefes e afins;362923;286761;76162
7.5.1.2 Padeiros, confeiteiros e afins;499751;322289;177463
7.5.1.3 Trabalhadores da pasteurização do leite e fabricação de laticínios e afins;29970;20457;9513
7.5.1.4 Trabalhadores da conservação de frutas, legumes e similares;32502;16205;16297
7.5.1.5 Trabalhadores da degustação e classificação de alimentos e bebidas;7892;4797;3095
7.5.1.6 Trabalhadores qualificados da preparação do fumo e seus produtos;7271;2386;4885
7.5.2 Trabalhadores qualificados do tratamento da madeira, marceneiros e afins;413959;388577;25382
7.5.2.1 Trabalhadores de tratamento e preparação da madeira;1302;1044;258
7.5.2.2 Marceneiros e afins;356444;340641;15803
7.5.2.3 Operadores de máquinas de lavrar madeira;56212;46891;9321
7.5.3 Trabalhadores qualificados e operários da confecção de roupas, calçados e acessórios;305180;170823;134357
7.5.3.1 Alfaiates, modistas, chapeleiros e peleteiros;17799;10551;7248
7.5.3.2 Trabalhadores qualificados da preparação da confecção de roupas;39227;14302;24926
7.5.3.3 Costureiros, bordadeiros e afins;41478;4823;36655
7.5.3.4 Tapeceiros, colchoeiros e afins;59274;51106;8168
7.5.3.5 Trabalhadores qualificados do tratamento de couros e peles;11329;9112;2217
7.5.3.6 Sapateiros e afins;136073;80929;55144
7.5.4 Outros trabalhadores qualificados e operários da indústria e do artesanato;167980;95278;72702
7.5.4.1 Trabalhadores subaquáticos;2308;2284;24
7.5.4.2 Dinamitadores e detonadores;3004;2970;34
7.5.4.3 Classificadores e provadores de produtos (exceto de bebidas e alimentos);142882;73189;69693
7.5.4.4 Fumigadores e outros controladores de pragas e ervas daninhas;14067;12452;1615
7.5.4.9 Outros trabalhadores qualificados e operários da indústria e do artesanato não classificados anteriormente;5720;4383;1337
8 Operadores de instalações e máquinas e montadores;6989495;5330567;1658928
8.1 Operadores de instalações fixas e máquinas;2750047;1238525;1511522
8.1.1 Operadores de instalações mineradoras e de extração e processamento de minerais;77754;76092;1662
8.1.1.1 Mineiros e operadores de máquinas e de instalações em minas e pedreiras;18479;18183;295
8.1.1.2 Operadores de instalações de processamento de minerais e rochas;9671;9415;256
8.1.1.3 Perfuradores e sondadores de poços e afins;26905;26310;595
8.1.1.4 Operadores de máquinas para fabricar cimento, pedras e outros produtos minerais;22699;22184;515
8.1.2 Operadores de instalações de processamento e recobridoras de metais;317688;293381;24306
8.1.2.1 Operadores de instalações de processamento de metais;229032;213082;15950
8.1.2.2 Operadores de máquinas polidoras, galvanizadoras e recobridoras de metais;88656;80300;8356
8.1.3 Operadores de instalações e máquinas de produtos químicos e fotográficos;54433;40240;14193
8.1.3.1 Operadores de instalações e máquinas de produtos químicos;48151;36185;11966
8.1.3.2 Operadores de máquinas para fabricar produtos fotográficos;6282;4055;2227
8.1.4 Operadores de máquinas para fabricar produtos de borracha, de papel e de material plástico;183622;160220;23402
8.1.4.1 Operadores de máquinas para fabricar produtos de borracha;114987;110408;4579
8.1.4.2 Operadores de máquinas para fabricar produtos de material plástico;56244;40910;15334
8.1.4.3 Operadores de máquinas para fabricar produtos de papel;12392;8903;3489
8.1.5 Operadores de máquinas para fabricar produtos de têxteis e artigos de couro e pele;1746230;352837;1393393
8.1.5.1 Operadores de máquinas de preparação de fibras, fiação e bobinamento de fios;31823;18221;13602
8.1.5.2 Operadores de teares e outras máquinas de tecelagem;70226;43744;26482
8.1.5.3 Operadores de máquinas de costura;1462064;180747;1281318
8.1.5.4 Operadores de máquinas de branqueamento, tingimento e limpeza de tecidos;63060;45132;17928
8.1.5.5 Operadores de máquinas de processamento de couros e peles;3508;3102;406
8.1.5.6 Operadores de máquinas para fabricação de calçados e afins;99718;53149;46569
8.1.5.7 Operadores de máquinas de lavar, tingir e passar roupas;9798;4476;5323
8.1.5.9 Operadores de máquinas para fabricar produtos têxteis e artigos de couro e pele não classificados anteriormente;6031;4266;1766
8.1.6 Operadores de máquinas para elaborar alimentos e produtos afins;180064;140670;39394
8.1.6.0 Operadores de máquinas para elaborar alimentos e produtos afins;180064;140670;39394
8.1.7 Operadores de instalações para a preparação de papel e de processamento de madeira;81138;76556;4582
8.1.7.1 Operadores de instalações para a preparação de pasta de papel e papel;19627;18140;1488
8.1.7.2 Operadores de instalações para processamento de madeira;61511;58416;3095
8.1.8 Outros operadores de instalações fixas e máquinas;109119;98529;10590
8.1.8.1 Operadores de instalações de vidraria e cerâmica;40546;38622;1925
8.1.8.2 Operadores de máquinas de vapor e caldeiras;41688;40424;1264
8.1.8.3 Operadores de máquinas de embalagem, engarrafamento e etiquetagem;20916;15140;5776
8.1.8.9 Operadores de máquinas e de instalações fixas não classificados anteriormente;5968;4344;1624
8.2 Montadores;311542;275117;36425
8.2.1 Montadores;311542;275117;36425
8.2.1.1 Mecânicos montadores de maquinaria mecânica;130762;119069;11693
8.2.1.2 Montadores de equipamentos elétricos e eletrônicos;64362;47520;16842
8.2.1.9 Montadores não classificados anteriormente;116418;108529;7889
8.3 Condutores de veículos e operadores de equipamentos móveis pesados;3927905;3816925;110980
8.3.1 Maquinistas de locomotivas e afins;14189;13602;587
8.3.1.1 Maquinistas de locomotivas;10695;10208;487
8.3.1.2 Guarda-freios e agentes de manobras;3494;3394;100
8.3.2 Condutores de automóveis, caminhonetes e motocicletas;2453449;2377227;76222
8.3.2.1 Condutores de motocicletas;315094;306716;8378
8.3.2.2 Condutores de automóveis, taxis e caminhonetes;2138355;2070510;67844
8.3.3 Condutores de caminhões pesados e ônibus;989798;973334;16464
8.3.3.1 Condutores de ônibus e bondes;211841;205891;5950
8.3.3.2 Condutores de caminhões pesados;777957;767443;10514
8.3.4 Operadores de equipamentos móveis pesados;445681;428623;17057
8.3.4.1 Operadores de máquinas agrícolas e florestais móveis;221257;216396;4861
8.3.4.2 Operadores de máquinas de movimentação de terras e afins;73947;72840;1107
8.3.4.3 Operadores de guindastes, gruas, aparatos de elevação e afins;50491;42542;7949
8.3.4.4 Operadores de empilhadeiras;99985;96844;3141
8.3.5 Marinheiros de coberta e afins;24789;24139;650
8.3.5.0 Marinheiros de coberta e afins;24789;24139;650
9 Ocupações elementares;17377753;8624204;8753549
9.1 Trabalhadores domésticos e outros trabalhadores de limpeza de interior de edifícios;6843030;956792;5886238
9.1.1 Trabalhadores domésticos e outros trabalhadores de limpeza de interior de edifícios;6628534;802322;5826212
9.1.1.1 Trabalhadores dos serviços domésticos em geral;4949965;278761;4671204
9.1.1.2 Trabalhadores de limpeza de interior de edifícios, escritórios, hotéis e outros estabelecimentos;1678570;523562;1155008
9.1.2 Lavadores de veículos, janelas, roupas e outras limpezas manuais;214496;154470;60026
9.1.2.1 Lavadeiros de roupas e passadeiros manuais;61058;14310;46748
9.1.2.2 Lavadores de veículos;130537;119837;10700
9.1.2.3 Limpadores de janelas;1595;1419;176
9.1.2.9 Outros trabalhadores de limpeza;21306;18904;2401
9.2 Trabalhadores elementares da agropecuária, da pesca e florestais;4123536;3008938;1114598
9.2.1 Trabalhadores elementares da agropecuária, da pesca e florestais;4123536;3008938;1114598
9.2.1.1 Trabalhadores elementares da agricultura;2905741;2080178;825564
9.2.1.2 Trabalhadores elementares da pecuária;406550;325242;81308
9.2.1.3 Trabalhadores elementares da agropecuária;280606;222208;58397
9.2.1.4 Trabalhadores elementares da jardinagem e horticultura;307502;222028;85473
9.2.1.5 Trabalhadores florestais elementares;196084;148514;47569
9.2.1.6 Trabalhadores elementares da caça, pesca e aquicultura;27053;10767;16287
9.3 Trabalhadores elementares da mineração, da construção, da indústria de transformação e do transporte;4042210;3302249;739961
9.3.1 Trabalhadores elementares da mineração e da construção;1502359;1454017;48342
9.3.1.1 Trabalhadores elementares de minas e pedreiras;56706;53348;3358
9.3.1.2 Trabalhadores elementares de obras públicas e da manutenção de estradas, represas e similares;45896;44385;1511
9.3.1.3 Trabalhadores elementares da construção de edifícios;1399757;1356285;43472
9.3.2 Trabalhadores elementares da indústria de transformação;1544914;985417;559497
9.3.2.1 Empacotadores manuais;212064;125955;86110
9.3.2.9 Trabalhadores elementares da indústria de transformação não classificados anteriormente;1332849;859462;473387
9.3.3 Trabalhadores elementares do transporte e armazenamento;994937;862814;132123
9.3.3.1 Condutores de veículos acionados a pedal ou a braços;1103;1044;59
9.3.3.2 Condutores de veículos e máquinas de tração animal;40271;38162;2109
9.3.3.3 Carregadores;649643;598043;51601
9.3.3.4 Repositores de prateleiras;303920;225566;78354
9.4 Ajudantes de preparação de alimentos;541279;138486;402793
9.4.1 Ajudantes de preparação de alimentos;541279;138486;402793
9.4.1.1 Preparadores de comidas rápidas;52809;30904;21905
9.4.1.2 Ajudantes de cozinha;488470;107582;380888
9.5 Trabalhadores ambulantes dos serviços e afins;485637;251069;234567
9.5.1 Trabalhadores ambulantes dos serviços e afins;91544;58823;32721
9.5.1.0 Trabalhadores ambulantes dos serviços e afins;91544;58823;32721
9.5.2 Vendedores ambulantes (exclusive de serviços de alimentação);394093;192246;201847
9.5.2.0 Vendedores ambulantes (exclusive de serviços de alimentação);394093;192246;201847
9.6 Coletores de lixo e outras ocupações elementares;1342061;966669;375392
9.6.1 Coletores de lixo;398348;273720;124628
9.6.1.1 Coletores de lixo e material reciclável;226795;162695;64100
9.6.1.2 Classificadores de resíduos;164168;106756;57412
9.6.1.3 Varredores e afins;7385;4269;3116
9.6.2 Outras ocupações elementares;943713;692950;250763
9.6.2.1 Mensageiros, carregadores de bagagens e entregadores de encomendas;557439;429277;128163
9.6.2.2 Pessoas que realizam várias tarefas;36061;29333;6728
9.6.2.3 Coletores de dinheiro em máquinas automáticas de venda e leitores de medidores;22858;20545;2313
9.6.2.4 Carregadores de água e coletores de lenha;5515;4550;966
9.6.2.9 Outras ocupações elementares não classificadas anteriormente;321839;209245;112593
10 Membros das forças armadas, policiais e bombeiros militares;489112;460893;28219
10.1 Oficiais das forças armadas;21371;19332;2039
10.1.1 Oficiais das forças armadas;21371;19332;2039
10.1.1.9 Oficiais das forças armadas;21371;19332;2039
10.2 Graduados e praças das forças armadas;113547;109729;3818
10.2.1 Graduados e praças das forças armadas;113547;109729;3818
10.2.1.9 Graduados e praças das forças armadas;113547;109729;3818
10.3 Militares das forças armadas não especificados;54592;52021;2571
10.4 Policiais militares;67026;62274;4751
10.4.1 Policiais militares;67026;62274;4751
10.4.1.8 Oficiais de polícia militar;20273;18924;1349
10.4.1.9 Graduados e praças da polícia militar;46753;43350;3403
10.5 Bombeiros militares;10377;9479;898
10.5.1 Bombeiros militares;10377;9479;898
10.5.1.8 Oficiais de bombeiro militar;2548;2328;221
10.5.1.9 Graduados e praças do corpo de bombeiros;7829;7152;678
10.6 Bombeiros e policiais militares não especificados;123525;113951;9574
10.7 Membros das forças armadas, policiais e bombeiros militares não especificados;98673;94106;4567
11 Ocupações maldefinidas;6506665;3803048;2703617
